Run;File;n_obs;load_ms;exec_ms
55;NEABT_input_100.pl;100;5;1
55;NEABT_input_500.pl;500;22;8
55;NEABT_input_1000.pl;1000;54;18
55;NEABT_input_2000.pl;2000;146;56
55;NEABT_input_5000.pl;5000;515;92
55;NEABT_input_10000.pl;10000;570;173
56;NEABT_input_100.pl;100;4;2
56;NEABT_input_500.pl;500;23;9
56;NEABT_input_1000.pl;1000;50;17
56;NEABT_input_2000.pl;2000;103;38
56;NEABT_input_5000.pl;5000;258;81
56;NEABT_input_10000.pl;10000;532;152
57;NEABT_input_100.pl;100;4;1
57;NEABT_input_500.pl;500;23;6
57;NEABT_input_1000.pl;1000;57;16
57;NEABT_input_2000.pl;2000;112;33
57;NEABT_input_5000.pl;5000;239;68
57;NEABT_input_10000.pl;10000;488;148
58;NEABT_input_100.pl;100;5;1
58;NEABT_input_500.pl;500;22;8
58;NEABT_input_1000.pl;1000;44;15
58;NEABT_input_2000.pl;2000;86;29
58;NEABT_input_5000.pl;5000;269;86
58;NEABT_input_10000.pl;10000;569;180
59;NEABT_input_100.pl;100;5;2
59;NEABT_input_500.pl;500;26;7
59;NEABT_input_1000.pl;1000;48;15
59;NEABT_input_2000.pl;2000;100;48
59;NEABT_input_5000.pl;5000;396;123
59;NEABT_input_10000.pl;10000;804;159
60;NEABT_input_100.pl;100;6;1
60;NEABT_input_500.pl;500;30;9
60;NEABT_input_1000.pl;1000;56;19
60;NEABT_input_2000.pl;2000;98;31
60;NEABT_input_5000.pl;5000;250;84
60;NEABT_input_10000.pl;10000;564;169
61;NEABT_input_100.pl;100;4;1
61;NEABT_input_500.pl;500;24;6
61;NEABT_input_1000.pl;1000;50;16
61;NEABT_input_2000.pl;2000;94;32
61;NEABT_input_5000.pl;5000;234;108
61;NEABT_input_10000.pl;10000;508;154
62;NEABT_input_100.pl;100;4;1
62;NEABT_input_500.pl;500;22;6
62;NEABT_input_1000.pl;1000;48;14
62;NEABT_input_2000.pl;2000;89;31
62;NEABT_input_5000.pl;5000;237;68
62;NEABT_input_10000.pl;10000;473;137
63;NEABT_input_100.pl;100;4;1
63;NEABT_input_500.pl;500;20;6
63;NEABT_input_1000.pl;1000;42;13
63;NEABT_input_2000.pl;2000;93;29
63;NEABT_input_5000.pl;5000;227;71
63;NEABT_input_10000.pl;10000;502;142
64;NEABT_input_100.pl;100;4;1
64;NEABT_input_500.pl;500;21;7
64;NEABT_input_1000.pl;1000;41;16
64;NEABT_input_2000.pl;2000;88;28
64;NEABT_input_5000.pl;5000;243;69
64;NEABT_input_10000.pl;10000;472;145
65;NEABT_input_100.pl;100;5;1
65;NEABT_input_500.pl;500;20;7
65;NEABT_input_1000.pl;1000;43;13
65;NEABT_input_2000.pl;2000;85;26
65;NEABT_input_5000.pl;5000;220;66
65;NEABT_input_10000.pl;10000;479;155
66;NEABT_input_100.pl;100;5;1
66;NEABT_input_500.pl;500;21;8
66;NEABT_input_1000.pl;1000;46;16
66;NEABT_input_2000.pl;2000;92;27
66;NEABT_input_5000.pl;5000;231;69
